code,name,series,element,tagemoji,tagname,wishlist,gen,owner,fought,frame,custom_frame,3D,morph,glow,bg,attack,defense,speed,hp,moves
g6oew,Akane Kurokawa,Oshi no Ko,metal,💫,akane,261,39,N/A,N/A,0,N/A,false,false,N/A,N/A,40,37,44,238,"Bod, Dru"
nm8lw6,Shizuka Hoshijiro,Knights of Sidonia,void,N/A,N/A,4,160,N/A,N/A,0,N/A,false,false,N/A,N/A,55,58,76,289,"Roc, Vor"
nm8fl0,Tsuyu,Noragami,ice,N/A,N/A,1,1692,N/A,N/A,0,N/A,false,false,N/A,N/A,61,58,42,268,"Ven, Bli"
nm88ga,Pandaman,One Piece,ice,N/A,N/A,6,949,N/A,N/A,0,N/A,false,false,N/A,N/A,49,42,43,243,"Vor, Ref"
nm7z9f,Yu Dayun,Mercenary Enrollment,wind,N/A,N/A,2,826,N/A,N/A,0,N/A,false,false,N/A,N/A,55,46,42,233,"Vis, Hel"
nm7wxs,Hamusuke,Overlord,fire,N/A,N/A,6,1448,N/A,N/A,0,N/A,false,false,N/A,N/A,47,53,53,299,"Hyp, Ven"
nm7unj,Sonya,Artery Gear: Fusion,fire,N/A,N/A,0,100,N/A,N/A,0,N/A,false,false,N/A,N/A,45,53,45,243,"Alm, Out"
nm7s7x,Sode no Shirayuki,Bleach,wood,N/A,N/A,2,1064,N/A,N/A,0,N/A,false,false,N/A,N/A,50,44,57,236,"Bli, Rot"
nm7qs2,Akane Kosaka,Saekano: How to Raise a Boring Girlfriend,light,N/A,N/A,3,1616,N/A,N/A,0,N/A,false,false,N/A,N/A,41,74,71,239,"Roc, Hel"
nm7l8o,Hayuru Himekawa,Hybrid x Heart Magias Academy Ataraxia,ice,N/A,N/A,0,669,N/A,N/A,0,N/A,false,false,N/A,N/A,44,80,55,258,"Nec, Bli"
nm66rl,Sylva,Alchemy Stars,wood,N/A,N/A,1,1623,N/A,N/A,0,N/A,false,false,N/A,N/A,55,41,43,265,"Dru, Ser"
nm4g6r,Witch Hazel,Looney Tunes,metal,N/A,N/A,0,647,N/A,N/A,0,N/A,false,false,N/A,N/A,50,56,58,265,"Vor, Dru"
nm4aa8,Jack Welker,Breaking Bad,light,N/A,N/A,0,1134,N/A,N/A,0,N/A,false,false,N/A,N/A,56,60,42,244,"Dru, Har"
nm469t,Aiko Yamagishi,My Tiny Senpai,metal,N/A,N/A,0,713,N/A,N/A,0,N/A,false,false,N/A,N/A,58,42,57,233,"Tim, Bli"
nm3ymn,Boxer,Girls x Battle 2,earth,N/A,N/A,0,1254,N/A,N/A,0,N/A,false,false,N/A,N/A,45,58,40,268,"Eth, Und"
nm3tw4,Aya Tsuji,JoJo's Bizarre Adventure: Diamond is Unbreakable,metal,N/A,N/A,1,875,N/A,N/A,0,N/A,false,false,N/A,N/A,44,53,42,297,"Pur, Har"
nm3nkx,Linse Shileska,In Another World With My Smartphone,metal,N/A,N/A,2,511,N/A,N/A,0,N/A,false,false,N/A,N/A,44,56,54,258,"Cos, Ven"
nm3k8l,Shikoku,Children of the Whales,ice,N/A,N/A,0,888,N/A,N/A,0,N/A,false,false,N/A,N/A,54,41,51,251,"Dra, Ato"
nm3d13,Genjou Kakouton,Ikki Tousen,earth,N/A,N/A,2,1386,N/A,N/A,0,N/A,false,false,N/A,N/A,58,54,44,244,"Hol, Dru"
nm39ii,Ayane Matsuura,Tsuredure Children,ice,N/A,N/A,0,1334,N/A,N/A,0,N/A,false,false,N/A,N/A,77,56,49,233,"Hyp, Cos"
nm33pl,Usui Miyuki,Alternative Girls,void,N/A,N/A,0,769,N/A,N/A,0,N/A,false,false,N/A,N/A,44,42,43,259,"Dra, Har"
nm31x9,Johnny Silverhand,Cyberpunk 2077,metal,N/A,N/A,34,896,N/A,N/A,0,N/A,false,false,N/A,N/A,49,42,49,269,"Gra, Pur"
nm30j8,Huskley,Earl and Fairy,fire,N/A,N/A,0,738,N/A,N/A,0,N/A,false,false,N/A,N/A,57,51,55,237,"Dru, Pur"
nm2yeu,Nina Miller,Tomb Raider King,ice,N/A,N/A,1,511,N/A,N/A,0,N/A,false,false,N/A,N/A,40,53,58,259,"Bod, Ato"
nm2wab,Miya,Deadman Wonderland,wood,N/A,N/A,0,866,N/A,N/A,0,N/A,false,false,N/A,N/A,46,59,42,253,"Vor, Dru"
nm2sv1,Lee,"Ed, Edd n Eddy",earth,N/A,N/A,4,1205,N/A,N/A,0,N/A,false,false,N/A,N/A,44,78,48,305,"Hol, Nec"
nm2py7,OTs-39,Girls Frontline,metal,N/A,N/A,0,725,N/A,N/A,0,N/A,false,false,N/A,N/A,40,57,57,255,"Spi, Gra"
nm2oza,Christina,Great Pretender,wood,N/A,N/A,2,1085,N/A,N/A,0,N/A,false,false,N/A,N/A,41,50,46,274,"Vis, Dru"
nm2nii,Vainney Halter,Clockwork Planet,ice,N/A,N/A,0,1734,N/A,N/A,0,N/A,false,false,N/A,N/A,56,77,85,280,"Tau, Und"
nm2jlv,Asia Argento,High School DxD,void,N/A,N/A,159,999,N/A,N/A,0,N/A,false,false,N/A,N/A,58,49,40,329,"Gra, Tim"
nm2h2o,Shogo Yamato,Paradox Live,fire,N/A,N/A,4,1435,N/A,N/A,0,N/A,false,false,N/A,N/A,59,48,41,252,"Hol, Roc"
nm2fg2,Kennen,League of Legends,fire,N/A,N/A,6,1941,N/A,N/A,0,N/A,false,false,N/A,N/A,49,40,49,245,"Bod, Tem"
nm2e6c,Nicolae Bartholy,Is it Love? Mystery Spell,metal,N/A,N/A,0,974,N/A,N/A,0,N/A,false,false,N/A,N/A,55,58,46,252,"Hyp, Sha"
nm2b1d,Maki Zenin,Jujutsu Kaisen,wind,💰,trade,541,750,N/A,N/A,0,N/A,false,false,N/A,N/A,50,51,41,245,"Tau, Hyp"
nm29je,Let Me In,Memes,fire,N/A,N/A,4,1614,N/A,N/A,0,N/A,false,false,N/A,N/A,53,47,52,271,"Dra, Spi"
nm284c,Meuniere,Fate/Grand Order,fire,N/A,N/A,0,1435,N/A,N/A,0,N/A,false,false,N/A,N/A,57,43,58,305,"Bod, Dru"
nm1v6i,Baena,Valkyrie Crusade,void,N/A,N/A,0,511,N/A,N/A,0,N/A,false,false,N/A,N/A,41,59,43,259,"Tim, Pur"
nlztls,Yasuhito Irei,WIND BOYS!,metal,N/A,N/A,0,1103,N/A,N/A,0,N/A,false,false,N/A,N/A,55,60,46,274,"Sha, Pur"
nlzs3h,Reuben,Lilo & Stitch,metal,N/A,N/A,1,650,N/A,N/A,0,N/A,false,false,N/A,N/A,57,40,48,266,"Sha, Cos"
nlzpc4,Kikimora,The Owl House,light,N/A,N/A,0,155,N/A,N/A,0,N/A,false,false,N/A,N/A,56,70,51,235,"Eth, Ven"
